name,district,office,denounced,unendorsed,source
Jason Chaffetz,Utah 3,House,Yes,Yes,http://www.politico.com/story/2016/10/rep-chaffetz-withdraws-his-endorsement-of-trump-229335
John McCain,Arizona,Senate,Yes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Kelly Ayotte,New Hampshire,Senate,Yes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Joe Heck,Nevada,Senate,Yes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
John Thune,South Dakota,Senate,Yes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Mike Lee,Utah,Senate,Yes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Gary Herbert,Utah,Governor,Yes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Bradley Byrne,Alabama 1,House,Yes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Martha Roby,Alabama 2,House,Yes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Mike Coffman,Colorado 6,House,Yes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Rodney Davis,Illinois 13,House,Yes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Fred Upton,Michigan 6,House,Yes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Ann Wagner,Mississippi 4,House,Yes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Cresent Hardy,Nevada 4,House,Yes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Scott Garrett,New Jersey 5,House,Yes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Charlie Dent,Pennsylvania 15,House,Yes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Chris Stewart,Utah 2,House,Yes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Mia Love,Utah 4,House,Yes,Yes,http://www.cbsnews.com/news/where-do-all-28-gop-women-in-congress-stand-on-donald-trump/
Barbara Comstock,Virginia 10,House,Yes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Lisa Murkowski,Alaska,Senate,Yes,Yes,http://www.cbsnews.com/news/where-do-all-28-gop-women-in-congress-stand-on-donald-trump/
Rob Portman,Ohio,Senate,Yes,Yes,http://www.politico.com/story/2016/10/republicans-who-have-condemned-trump-229349
Steve Knight,California 25,House,Yes,Yes,http://www.politico.com/story/2016/10/republicans-who-have-condemned-trump-229349
Tom Rooney,Florida 17,House,Yes,Yes,http://www.politico.com/story/2016/10/republicans-who-have-condemned-trump-229349
Erik Paulsen,Minnesota 3,House,Yes,Yes,http://www.politico.com/story/2016/10/republicans-who-have-condemned-trump-229349
Jeff Fortenberry,Nebraska 1,House,Yes,Yes,http://www.politico.com/story/2016/10/republicans-who-have-condemned-trump-229349
Frank LoBiondo,New Jersey 2,House,Yes,Yes,http://www.politico.com/story/2016/10/republicans-who-have-condemned-trump-229349
John Katko,New York 24,House,Yes,Yes,http://www.nytimes.com/interactive/2016/08/29/us/politics/at-least-110-republican-leaders-wont-vote-for-donald-trump-heres-when-they-reached-their-breaking-point.html#tape
Will Hurd,Texas 23,House,Yes,Yes,http://www.nytimes.com/interactive/2016/08/29/us/politics/at-least-110-republican-leaders-wont-vote-for-donald-trump-heres-when-they-reached-their-breaking-point.html#tape
Jaime Herrera Beutler,Washington 3,House,Yes,Yes,http://www.nytimes.com/interactive/2016/08/29/us/politics/at-least-110-republican-leaders-wont-vote-for-donald-trump-heres-when-they-reached-their-breaking-point.html#tape
Paul Ryan,Wisconsin 1,House,Yes,,https://www.washingtonpost.com/news/powerpost/wp/2016/10/07/ryan-mcconnell-silent-on-lewd-trump-video/
Marco Rubio,Florida,Senate,Yes,,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Chuck Grassley,Iowa,Senate,Yes,,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
John Fleming,Louisiana,Senate,Yes,,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Charles Boustany,Louisiana,Senate,Yes,,https://en.wikipedia.org/wiki/Charles_Boustany
Roy Blunt,Missouri,Senate,Yes,,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Don Young,Alaska at-large,House,Yes,,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Carlos Curbelo,Florida 26,House,Yes,,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Cathy McMorris Rodgers,Washington 5,House,Yes,,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Martha McSally,Arizona 2,House,Yes,,http://www.cbsnews.com/news/where-do-all-28-gop-women-in-congress-stand-on-donald-trump/
Jackie Walorski,Indiana 2,House,Yes,,http://www.cbsnews.com/news/where-do-all-28-gop-women-in-congress-stand-on-donald-trump/
Susan Brooks,Indiana 5,House,Yes,,http://www.cbsnews.com/news/where-do-all-28-gop-women-in-congress-stand-on-donald-trump/
Vicky Hartzler,Mississippi 4,House,Yes,,http://www.cbsnews.com/news/where-do-all-28-gop-women-in-congress-stand-on-donald-trump/
Elise Stefanik,New York 21,House,Yes,,http://www.cbsnews.com/news/where-do-all-28-gop-women-in-congress-stand-on-donald-trump/
Kristi Noem,South Dakota at-large,House,Yes,,http://www.cbsnews.com/news/where-do-all-28-gop-women-in-congress-stand-on-donald-trump/
Todd Young,Indiana	,Senate,Yes,,http://www.politico.com/story/2016/10/republicans-who-have-condemned-trump-229349
Richard Burr,North Carolina,Senate,Yes,,http://www.politico.com/story/2016/10/republicans-who-have-condemned-trump-229349
Pat Toomey,Pennsylvania,Senate,Yes,,http://www.politico.com/story/2016/10/republicans-who-have-condemned-trump-229349
Ron Johnson,Wisconsin 1,Senate,Yes,,http://www.politico.com/story/2016/10/republicans-who-have-condemned-trump-229349
Mike Crapo,Idaho,Senate,Yes,,http://www.nytimes.com/interactive/2016/08/29/us/politics/at-least-110-republican-leaders-wont-vote-for-donald-trump-heres-when-they-reached-their-breaking-point.html?hp&action=click&pgtype=Homepage&clickSource=story-heading&module=b-lede-package-region&region=top-news&WT.nav=top-news
John Neely Kennedy,Louisiana,Senate,,,
Richard Shelby,Alabama,Senate,,,
John Boozman,Arkansas,Senate,,,
Darryl Glenn,Colorado,Senate,,,
Dan Carter,Conneticut,Senate,,,
Johnny Isakson,Georgia,Senate,,,
John Carroll,Hawaii,Senate,,,
Mark Kirk,Illinois,Senate,,,
Jerry Moran,Kansas,Senate,,,
Rand Paul,Kentucky,Senate,,,
Kathy Szeliga,Maryland,Senate,,,
John Hoeven,North Dakota,Senate,,,
Wendy Long,New York,Senate,,,
James Lankford,Oklahoma,Senate,,,
Mark Callahan,Oregon,Senate,,,
Tim Scott,South Carolina,Senate,,,
Scott Milne,Vermont,Senate,,,
Chris Vance,Washington,Senate,,,
Bill Bryant,Washington,Governor,,,
Bud Pierce,Oregon,Governor,,,
Greg Gianforte,Montana,Governor,,,
Jack Darylmple,North Dakota,Governor,,,
Eric Greitens,Missouri,Governor,,,
Eric Holcomb,Indiana,Governor,,,
Bill Cole,West Virgina,Governor,,,
Pat McCrory,North Carolina,Governor,,,
Phil Scott,Vermont,Governor,,,
Chris Sununu,Hew Hampshire,Governor,,,
Colin Bonini,Delaware,Governor,,,
Mike Rogers,Alabama 3,House,,,
Robert Aderholt,Alabama 4,House,,,
Mo Brooks,Alabama 5,House,,,
Gary Palmer,Alabama 6,House,,,
Paul Babeu,Arizona 1,House,,,
Paul Gosar,Arizona 4,House,,,
Andy Biggs,Arizona 5,House,,,
David Schweikert,Arizona 6,House,,,
Eve Nunez,Arizona 7,House,,,
Trent Franks,Arizona 8,House,,,
Dave Giles,Arizona 9,House,,,
Rick Crawford,Arkansas 1,House,,,
French Hill,Arkansas 2,House,,,
Steve Womack,Arkansas 3,House,,,
Bruce Westerman,Arkansas 4,House,,,
Doug LaMalfa,California 1,House,,,
Dale Mensing,California 2,House,,,
Eugene Cleek,California 3,House,,,
Tom McClintock,California 4,House,,,
Carlos Santamaria,California 5,House,,,
Bob Evans,California 6,House,,,
Scott Jones,California 7,House,,,
Paul Cook,California 8,House,,,
Tony Amador,California 9,House,,,
Jeff Denham,California 10,House,,,
Roger Petersen,California 11,House,,,
Sue Caro,California 13,House,,,
Angel Cardenas,California 14,House,,,
Danny Turner,California 15,House,,,
Johnny Tacherra,California 16,House,,,
Richard Fox,California 18,House,,,
G. Burt Lancaster,California 19,House,,,
Casey Lucius,California 20,House,,,
David Valadao,California 21,House,,,
Devin Nunes,California 22,House,,,
Kevin McCarthy,California 23,House,,,
Justin Fareed,California 24,House,,,
Rafael Dagnesses,California 25,House,,,
Jack Orswell,California 27,House,,,
Lenore Solis,California 28,House,,,
Mark Reed,California 30,House,,,
Paul Chabot,California 31,House,,,
Kenneth Wright,California 33,House,,,
Tyler Fischella,California 35,House,,,
Jeff Stone,California 36,House,,,
Ryan Downing,California 38,House,,,
Ed Royce,California 39,House,,,
Doug Shepherd,California 41,House,,,
Ken Calvert,California 42,House,,,
Omar Navarro,California 43,House,,,
Mimi Walters,California 45,House,,,
Andy Whallon,California 47,House,,,
Dana Rohrabacher,California 48,House,,,
Darrell Issa,California 49,House,,,
Duncan D. Hunter,California 50,House,,,
Juan Hidalgo,California 51,House,,,
Denise Gitsham,California 52,House,,,
James Veltmeyer,California 53,House,,,
Casper Stockham,Colorado 1,House,,,
Nic Morse,Colorado 2,House,,,
Scott Tipton,Colorado 3,House,,,
Ken Buck,Colorado 4,House,,,
Doug Lamborn,Colorado 5,House,,,
George Athanasopoulos,Colorado 7,House,,,
Matthew Corey,Connecticut 1,House,,,
Daria Novak,Connecticut 2,House,,,
Angel Cadena,Connecticut 3,House,,,
John Shaban,Connecticut 4,House,,,
Clay Cope,Connecticut 5,House,,,
Hans Reigle,Delaware at-large,House,,,
Matt Gaetz,Florida 1,House,,,
Neal Dunn,Florida 2,House,,,
Ted Yoho,Florida 3,House,,,
John Rutherford,Florida 4,House,,,
Glo Smith,Florida 5,House,,,
Ron DeSantis,Florida 6,House,,,
John Mica,Florida 7,House,,,
Bill Posey,Florida 8,House,,,
Wayne Liebnitzky,Florida 9,House,,,
Thuy Lowe,Florida 10,House,,,
Dan Webster,Florida 11,House,,,
Gus Bilirakis,Florida 12,House,,,
David Jolly,Florida 13,House,,,
Christine Quinn,Florida 14,House,,,
Dennis Ross,Florida 15,House,,,
Vern Buchanan,Florida 16,House,,,
Brian Mast,Florida 17,House,,,
Francis Rooney,Florida 19,House,,,
Gary Stein,Florida 20,House,,,
Paul Spain,Florida 21,House,,,
Andrea Leigh McGee,Florida 22,House,,,
Joe Kaufman,Florida 23,House,,,
Mario Diaz-Balart,Florida 25,House,,,
Ileana Ros-Lehtinen,Florida 27,House,,,
Buddy Carter,Georgia 1,House,,,
Greg Duke,Georgia 2,House,,,
Drew Ferguson,Georgia 3,House,,,
Victor Armendariz,Georgia 4,House,,,
Douglas Bell,Georgia 5,House,,,
Tom Price,Georgia 6,House,,,
Rob Woodall,Georgia 7,House,,,
Austin Scott,Georgia 8,House,,,
Doug Collins,Georgia 9,House,,,
Jody Hice,Georgia 10,House,,,
Barry Loudermilk,Georgia 11,House,,,
Rick Allen,Georgia 12,House,,,
Tom Graves,Georgia 14,House,,,
Shirlene D. Ostrov,Hawaii 1,House,,,
Angela Kaaihue,Hawaii 2,House,,,
Raul Labrador,Idaho 1,House,,,
Mike Simpson,Idaho 2,House,,,
August Deuser,Illinois 1,House,,,
John Morrow,Illinois 2,House,,,
Vince Kolber,Illinois 5,House,,,
Peter Roskam,Illinois 6,House,,,
Jeffrey Leef,Illinois 7,House,,,
Pete DiCianni,Illinois 8,House,,,
Joan McCarthy Lasonde,Illinois 9,House,,,
Bob Dold,Illinois 10,House,,,
Tonia Khouri,Illinois 11,House,,,
Mike Bost,Illinois 12,House,,,
Randy Hultgren,Illinois 14,House,,,
John Shimkus,Illinois 15,House,,,
Adam Kinzinger,Illinois 16,House,,,
Patrick Harlan,Illinois 17,House,,,
Darin LaHood,Illinois 18,House,,,
Jim Banks,Indiana 3,House,,,
Todd Rokita,Indiana 4,House,,,
Luke Messer,Indiana 6,House,,,
Cat Ping,Indiana 7,House,,,
Larry Bucshon,Indiana 8,House,,,
Trey Hollingsworth,Indiana 9,House,,,
Rod Blum,Iowa 1,House,,,
Christopher Peters,Iowa 2,House,,,
David Young,Iowa 3,House,,,
Steve King,Iowa 4,House,,,
Roger Marshall,Kansas 1,House,,,
Lynn Jenkins,Kansas 2,House,,,
Kevin Yoder,Kansas 3,House,,,
Mike Pompeo,Kansas 4,House,,,
James Comer,Kentucky 1,House,,,
Brett Guthrie,Kentucky 2,House,,,
Harold Bratcher,Kentucky 3,House,,,
Thomas Massie,Kentucky 4,House,,,
Hal Rogers,Kentucky 5,House,,,
Andy Barr,Kentucky 6,House,,,
Steve Scalise,Louisiana 1,House,,,
Scott Angelle,Louisiana 3,House,,,
Bryan Barrilleaux,Louisiana 3,House,,,
Greg Ellison,Louisiana 3,House,,,
Brett Geymann,Louisiana 3,House,,,
Clay Higgins,Louisiana 3,House,,,
Gus Rantz,Louisiana 3,House,,,
Grover Rees,Louisiana 3,House,,,
Herman Vidrine,Louisiana 3,House,,,
Trey Baucum,Louisiana 4,House,,,
Elbert Guillory,Louisiana 4,House,,,
Oliver Jenkins,Louisiana 4,House,,,
Rick John,Louisiana 4,House,,,
Mike Johnson,Louisiana 4,House,,,
Ralph Abraham,Louisiana 5,House,,,
Billy Burkette,Louisiana 5,House,,,
"Robert Lamar ""Bob"" Bell",Louisiana 6,House,,,
Garret Graves,Louisiana 6,House,,,
Mark Holbrook,Maine 1,House,,,
Bruce Poliquin,Maine 2,House,,,
Andy Harris,Maryland 1,House,,,
Pat McDonough,Maryland 2,House,,,
Mark Plaster,Maryland 3,House,,,
George McDermott,Maryland 4,House,,,
Mark Arness,Maryland 5,House,,,
Amie Hoeber,Maryland 6,House,,,
Corrogan Vaughn,Maryland 7,House,,,
Dan Cox,Maryland 8,House,,,
Ann Wofford,Massachusetts 3,House,,,
David Rosa,Massachusetts 4,House,,,
William Burke,Massachusetts 8,House,,,
Mark Alliegro,Massachusetts 9,House,,,
Jack Bergman,Michigan 1,House,,,
Bill Huizenga,Michigan 2,House,,,
Justin Amash,Michigan 3,House,,,
John Moolenaar,Michigan 4,House,,,
Al Hardwick,Michigan 5,House,,,
Tim Walberg,Michigan 7,House,,,
Mike Bishop,Michigan 8,House,,,
Christopher Morse,Michigan 9,House,,,
Paul Mitchell,Michigan 10,House,,,
Dave Trott,Michigan 11,House,,,
Jeff Jones,Michigan 12,House,,,
Jeff Gorman,Michigan 13,House,,,
Howard Klausner,Michigan 14,House,,,
Jim Hagedorn,Minnesota 1,House,,,
Jason Lewis,Minnesota 2,House,,,
Greg Ryan,Minnesota 4,House,,,
Frank Nelson Drake,Minnesota 5,House,,,
Tom Emmer,Minnesota 6,House,,,
Dave Hughes,Minnesota 6,House,,,
Stewart Mills,Minnesota 8,House,,,
Trent Kelly,Mississippi 1,House,,,
John Bouie II,Mississippi 2,House,,,
Gregg Harper,Mississippi 3,House,,,
Steven Palazzo,Mississippi 4,House,,,
Steven G. Bailey,Missouri 1,House,,,
Blaine Luetkemeyer,Missouri 3,House,,,
Jacob Turk,Missouri 5,House,,,
Sam Graves,Missouri 6,House,,,
Billy Long,Missouri 7,House,,,
Jason T. Smith,Missouri 8,House,,,
Ryan Zinke,Montana at-large,House,,,
Don Bacon,Nebraska 1,House,,,
Adrian Smith,Nebraska 3,House,,,
Mary Perry,Nevada 1,House,,,
Mark Amodei,Nevada 2,House,,,
Danny Tarkanian,Nevada 3,House,,,
Frank Guinta,New Hampshire 1,House,,,
Jim Lawrence,New Hampshire 2,House,,,
Bob Patterson,New Jersey 1,House,,,
Tom MacArthur,New Jersey 3,House,,,
Chris Smith,New Jersey 4,House,,,
Brent Sonnek-Schmelz,New Jersey 5,House,,,
Leonard Lance,New Jersey 7,House,,,
Agha Khan,New Jersey 8,House,,,
Hector Castillo,New Jersey 9,House,,,
David Pinckney,New Jersey 10,House,,,
Rodney Frelinghuysen,New Jersey 11,House,,,
Steven Uccio,New Jersey 12,House,,,
Richard Priem,New Mexico 1,House,,,
Steve Pearce,New Mexico 2,House,,,
Michael Romero,New Mexico 3,House,,,
Lee Zeldin,New York 1,House,,,
Peter King,New York 2,House,,,
Jack Martins,New York 3,House,,,
David Gurfein,New York 4,House,,,
Michael O'Reilly,New York 5,House,,,
Danniel S. Maio,New York 6,House,,,
Allan E. Romaguera,New York 7,House,,,
Daniel Cavanuagh,New York 8,House,,,
Phillip Rosenthal,New York 10,House,,,
Dan Donovan,New York 11,House,,,
Robert Ardini,New York 12,House,,,
Tony Evans,New York 13,House,,,
Frank Spotorno,New York 14,House,,,
Alejandro Vega,New York 15,House,,,
Phil Oliva,New York 18,House,,,
John Faso,New York 19,House,,,
Francis J. Vitollo,New York 20,House,,,
Claudia Tenney,New York 21,House,,,
Tom Reed,New York 23,House,,,
Mark Assini,New York 24,House,,,
Shelly Shratz,New York 26,House,,,
Chris Collins,New York 27,House,,,
H. Powell Dew,North Carolina 1,House,,,
George Holding,North Carolina 2,House,,,
Walter Jones,North Carolina 3,House,,,
Sue Googe,North Carolina 4,House,,,
Virginia Foxx,North Carolina 5,House,,,
Mark Walker,North Carolina 6,House,,,
David Rouzer,North Carolina 7,House,,,
Richard Hudson,North Carolina 8,House,,,
Robert Pittenger,North Carolina 9,House,,,
Patrick McHenry,North Carolina 10,House,,,
Mark Meadows,North Carolina 11,House,,,
Leon Threatt,North Carolina 12,House,,,
Ted Budd,North Carolina 13,House,,,
Kevin Cramer,North Dakota at-large,House,,,
Steve Chabot,Ohio 1,House,,,
Brad Wenstrup,Ohio 2,House,,,
John Adams,Ohio 3,House,,,
Jim Jordan,Ohio 4,House,,,
Bob Latta,Ohio 5,House,,,
Bill Johnson,Ohio 6,House,,,
Bob Gibbs,Ohio 7,House,,,
Warren Davidson,Ohio 8,House,,,
Donald Larson,Ohio 9,House,,,
Mike Turner,Ohio 10,House,,,
Beverly A. Goldstein,Ohio 11,House,,,
Pat Tiberi,Ohio 12,House,,,
Richard Morckel,Ohio 13,House,,,
David Joyce,Ohio 14,House,,,
Steve Stivers,Ohio 15,House,,,
Jim Renacci,Ohio 16,House,,,
Jim Bridenstine,Oklahoma 1,House,,,
Markwayne Mullin,Oklahoma 2,House,,,
Frank Lucas,Oklahoma 3,House,,,
Tom Cole,Oklahoma 4,House,,,
Steve Russell,Oklahoma 5,House,,,
Brian Heinrich,Oregon 1,House,,,
Greg Walden,Oregon 2,House,,,
Art Robinson,Oregon 4,House,,,
Colm Willis,Oregon 5,House,,,
Deborah Williams,Pennsylvania 1,House,,,
James Jones,Pennsylvania 2,House,,,
Mike Kelly,Pennsylvania 3,House,,,
Scott Perry,Pennsylvania 4,House,,,
Glenn Thompson,Pennsylvania 5,House,,,
Ryan Costello,Pennsylvania 6,House,,,
Pat Meehan,Pennsylvania 7,House,,,
Brian Fitzpatrick,Pennsylvania 8,House,,,
Bill Shuster,Pennsylvania 9,House,,,
Tom Marino,Pennsylvania 10,House,,,
Lou Barletta,Pennsylvania 11,House,,,
Keith Rothfus,Pennsylvania 12,House,,,
Lenny McAllister,Pennsylvania 14,House,,,
Lloyd Smucker,Pennsylvania 16,House,,,
Matt Connolly,Pennsylvania 17,House,,,
Tim Murphy,Pennsylvania 18,House,,,
H. Russell Taub,Rhode Island 1,House,,,
Rhue Reis,Rhode Island 2,House,,,
Mark Sanford,South Carolina 1,House,,,
Joe Wilson,South Carolina 2,House,,,
Jeff Duncan,South Carolina 3,House,,,
Trey Gowdy,South Carolina 4,House,,,
Mick Mulvaney,South Carolina 5,House,,,
Laura Sterling,South Carolina 6,House,,,
Tom Rice,South Carolina 7,House,,,
Phil Roe,Tennessee 1,House,,,
Jimmy Duncan,Tennessee 2,House,,,
Chuck Fleischmann,Tennessee 3,House,,,
Scott DesJarlais,Tennessee 4,House,,,
Stacy Ries Snyder,Tennessee 5,House,,,
Diane Black,Tennessee 6,House,,,
Marsha Blackburn,Tennessee 7,House,,,
David Kustoff,Tennessee 8,House,,,
Wayne Alberson,Tennessee 9,House,,,
Louie Gohmert,Texas 1,House,,,
Ted Poe,Texas 2,House,,,
Sam Johnson,Texas 3,House,,,
John Ratcliffe,Texas 4,House,,,
Jeb Hensarling,Texas 5,House,,,
Joe Barton,Texas 6,House,,,
John Culberson,Texas 7,House,,,
Kevin Brady,Texas 8,House,,,
Jeff Martin,Texas 9,House,,,
Michael McCaul,Texas 10,House,,,
Mike Conaway,Texas 11,House,,,
Kay Granger,Texas 12,House,,,
Mac Thornberry,Texas 13,House,,,
Randy Weber,Texas 14,House,,,
Tim Westley,Texas 15,House,,,
Bill Flores,Texas 17,House,,,
Lori Bartley,Texas 18,House,,,
Jodey Arrington,Texas 19,House,,,
Lamar Smith,Texas 21,House,,,
Pete Olson,Texas 22,House,,,
Kenny Marchant,Texas 24,House,,,
Roger Williams,Texas 25,House,,,
Michael Burgess,Texas 26,House,,,
Blake Farenthold,Texas 27,House,,,
Zeffen Hardin,Texas 28,House,,,
Julio Garza,Texas 29,House,,,
Charles Lingerfelt,Texas 30,House,,,
John Carter,Texas 31,House,,,
Pete Sessions,Texas 32,House,,,
Mark Mitchell,Texas 33,House,,,
Rey Gonzalez,Texas 34,House,,,
Susan Narvaiz,Texas 35,House,,,
Brian Babin,Texas 36,House,,,
Rob Bishop,Utah 1,House,,,
Rob Wittman,Virginia 1,House,,,
Scott Taylor,Virginia 2,House,,,
Marty Williams,Virginia 3,House,,,
Mike Wade,Virginia 4,House,,,
Tom Garrett,Virginia 5,House,,,
Bob Goodlatte,Virginia 6,House,,,
Dave Brat,Virginia 7,House,,,
Charles Hernick,Virginia 8,House,,,
Morgan Griffith,Virginia 9,House,,,
Robert Sutherland,Washington 1,House,,,
Marc Hennemann,Washington 2,House,,,
Dan Newhouse,Washington 4,House,,,
Clint Didier,Washington 4,House,,,
Todd Bloom,Washington 6,House,,,
Dave Reichert,Washington 8,House,,,
Doug Basler,Washington 9,House,,,
Jim Postma,Washington 10,House,,,
David McKinley,West Virginia 1,House,,,
Alex Mooney,West Virginia 2,House,,,
Evan Jenkins,West Virginia 3,House,,,
Peter Theron,Wisconsin 1,House,,,
Jim Sensenbrenner,Wisconsin 5,House,,,
Glenn Grothman,Wisconsin 6,House,,,
Sean Duffy,Wisconsin 7,House,,,
Mike Gallagher,Wisconsin 8,House,,,
Liz Cheney,Wyoming at-large,House,,,
Aumua Amata Radewagen,American Samoa,House,,,
Felix Camacho,Guam,House,,,
Gordon P. Ackley,United States Virgin Islands,House,,,
